edgeId,sourceContract,sourceSemanticUnit,sourceLocation,referenceKind,requiredness,targetContract,targetSemanticUnit,targetLocation,targetSemanticKind,targetLifecycleAvailability,resolutionStatus,reason,occurrenceCount
E05,C10,FailureResult.technicalReasonCategory,"n/a (base row, pre-normalization)",closed enum reference,required,C9,runtime reason tokens (4: provider.timeout/provider.malformed_response/input.unreadable/input.unsupported),"n/a (base row, pre-normalization)",runtime token,runtime,RESOLVED,"Independently verified against live Contract 9 c9.entry.001-004; exact 4-token set confirmed, 0 unauthorized tokens",1
E06,C10,RejectedResult.contractViolations[],"n/a (base row, pre-normalization)",closed enum reference,required (1..N),C9,runtime violation tokens (14),"n/a (base row, pre-normalization)",runtime token,runtime,RESOLVED,Independently verified against live Contract 9 c9.entry.005-018; exact 14-token set confirmed,1
E09,C10,ComparisonOutcome.comparisonOutcomeIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C9,c9.comparison.* (15),"n/a (base row, pre-normalization)",comparison outcome,evaluation-only,RESOLVED,"Verified via Contract 9 §26; precedence chain (1-15, post-result-mutation highest) confirmed unchanged",1
E10,C10,post-seal mutation detection (c10.validation.999),"n/a (base row, pre-normalization)",escalation reference,required,C9,c9.failure.post-result-mutation -> c9.escalation.security-stop,"n/a (base row, pre-normalization)",escalation,runtime,RESOLVED,Verified unconditional highest-precedence chain preserved unchanged,1
E11,C10,AttributeEvidenceArtifact (26 fields),"n/a (base row, pre-normalization)",schema mirror,required,C4,AEA semantic model (Sec 8.2),"n/a (base row, pre-normalization)",evidence model,runtime,RESOLVED,All 26 fields individually verified field-by-field against live Contract 4 text; 0 mismatches,1
E12,C10,AtomicEvidenceContribution (8 fields),"n/a (base row, pre-normalization)",schema mirror,required,C4,AtomicEvidenceContribution model (Sec 8.4),"n/a (base row, pre-normalization)",evidence sub-model,runtime,RESOLVED,All 8 fields individually verified,1
E13,C10,evidenceKindIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C4,c4.evidencekind.* (3),"n/a (base row, pre-normalization)",evidence-kind,runtime,RESOLVED,Verified exact 3-value set (image-region/pixel-cue/explicit-inference-basis),1
E14,C10,provenanceIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C4,c4.provenance.* (4),"n/a (base row, pre-normalization)",provenance,runtime,RESOLVED,Verified exact 4-value set; token-for-token match confirmed for all values referenced in C6 compatibility tables,1
E16,C10,ConfidenceAssertionRecord.stateIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C5,c5.state.* (3),"n/a (base row, pre-normalization)",confidence state,runtime,RESOLVED,Verified exact 3-value ordinal set; non-conflation with C6 outcome confirmed,1
E17,C10,ConfidenceAssertionRecord.sourceIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C5,c5.source.* (3),"n/a (base row, pre-normalization)",confidence source,runtime,RESOLVED,Verified exact set,1
E18,C10,ConfidenceSourceSignalRecord (recordTypeIdentity),"n/a (base row, pre-normalization)",schema mirror,required,C5,c5.recordtype.002,"n/a (base row, pre-normalization)",record type,runtime,RESOLVED,Verified match,1
E19,C10,Contract6DeterminabilityPackage (6 sub-records),"n/a (base row, pre-normalization)",schema mirror,required,C6,c6.recordtype.001-006,"n/a (base row, pre-normalization)",record type,runtime,RESOLVED,All 6 sub-records (AnnotationUnitRecord/PairingRecord/BasisLinkRecord/OutcomeDecisionRecord/Contract6SealingRecord/AdjudicationRecord) individually cross-verified against live Contract 6 recordtype registry,1
E20,C10,OutcomeDecisionRecord.outcomeIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C6,c6.outcome.* (3),"n/a (base row, pre-normalization)",determinability outcome,runtime,RESOLVED,Verified exact set,1
E21,C10,AnnotationUnitRecord.multiViewStateIdentity,"n/a (base row, pre-normalization)",closed enum reference,conditional,C6,c6.multiviewstate.* (5),"n/a (base row, pre-normalization)",multi-view state,runtime,RESOLVED,Verified exact set,1
E22,C10,PairingRecord.pairingStateIdentity,"n/a (base row, pre-normalization)",closed enum reference,required,C6,c6.pairingstate.* (5),"n/a (base row, pre-normalization)",pairing state,runtime,RESOLVED,Corrected in Correction Cycle 5 from prose citation to exact namespace token; independently re-verified,1
E23,C10,SceneResult.completeness,"n/a (base row, pre-normalization)",derived signal (2-value: full/partial),required,C7,c7.completenessassessmentstate.* (3: unresolved/resolved-full/resolved-partial),"n/a (base row, pre-normalization)",completeness assessment,runtime,RESOLVED,Formally adjudicated (P-1): only resolved-full/resolved-partial cross into runtime; unresolved never sealed as full/partial. REJECTED as a false-positive gap.,1
E24,C10,UnseenClaimRecord fields (claimcode/claimfamily/claimdisposition/assertionscope),"n/a (base row, pre-normalization)",closed enum reference,required,C8,c8.claimcode.*/c8.claimfamily.*/etc.,"n/a (base row, pre-normalization)",claim taxonomy,runtime,RESOLVED,Verified against live Contract 8 text (multiple sessions),1
E25,C10,RawMechanismAssertionArtifact / ETAPAssertionProjectionFact / C8EvaluationRecord fields,"n/a (base row, pre-normalization)",schema mirror,required/conditional,C8,Sec 11.2/11.4/11.5,"n/a (base row, pre-normalization)",evaluation artifact,evaluation,RESOLVED,Independently verified against live Contract 8 text this session; explicit Contract-8 textual permission found for Contract-10 wire representation,1
E28,C10,SceneRelation.relationTypeIdentity,"n/a (base row, pre-normalization)",closed enum reference,conditional,C2,relation identity registry,"n/a (base row, pre-normalization)",relation identity,runtime,RESOLVED,Verified via Contract 2 registry,1
E29,C10,relations[] applicability check,"n/a (base row, pre-normalization)",matrix cell lookup,conditional (0..N),C3,102-cell Relation x Category matrix,"n/a (base row, pre-normalization)",applicability rule,runtime,RESOLVED,"Verified applicability is permission not existence-requirement (Owner finding 8, closed)",1
E30,C3,matrix cells (bedroom specializations rows 17-19),"n/a (base row, pre-normalization)",inheritance guard,required,C1,bedroom base row + 3 specializations,"n/a (base row, pre-normalization)",category inheritance,architecture,RESOLVED,c3.failure.008 (subtype_inheritance_violation) confirmed as a dedicated mechanical guard preventing specialization collapse,1
E31,C7,scenario-family applicability (244 occurrences),"n/a (base row, pre-normalization)",category reference,required,C1,c1.space.* (34),"n/a (base row, pre-normalization)",category identity,architecture,RESOLVED,"All 34 categories referenced, 0 missing",1
E32,C8,claim-scope applicability (68 occurrences),"n/a (base row, pre-normalization)",category reference,required,C1,c1.space.* (34),"n/a (base row, pre-normalization)",category identity,architecture,RESOLVED,"All 34 categories referenced, 0 missing",1
E33,C8,edge-marker claim reference,"n/a (base row, pre-normalization)",cross-contract reference,conditional,C7,c7.edgemarker.*,"n/a (base row, pre-normalization)",lineage marker,architecture,RESOLVED,Confirmed real reference in earlier namespace scan,1
E34,C9,C.2 fixture reason tokens,"n/a (base row, pre-normalization)",runtime token definition,required,C2,c2.room.*/c2.node.*/c2.relation.*/c2.geometry.*,"n/a (base row, pre-normalization)",structural violation,fixture/runtime,RESOLVED,4 C.2-suite tokens verified exact,1
E35,C9,C.3/CV fixture reason tokens,"n/a (base row, pre-normalization)",runtime token definition,required,C3,c3.general.*/c3.room.*/c3.confidence.*/c3.provenance.*,"n/a (base row, pre-normalization)",structural/contract violation,fixture/runtime,RESOLVED,10 C.3+CV-suite tokens verified exact,1
