mappingId,upstreamContract,upstreamSemanticUnit,upstreamLocation,upstreamRequiredness,upstreamCondition,upstreamCardinality,upstreamProhibitions,downstreamContract,downstreamSemanticUnit,downstreamLocation,downstreamRequiredness,downstreamCondition,downstreamCardinality,downstreamContainment,downstreamLifecycle,comparisonResult,reason
M01,C1,34 active Residential-34 categories,"n/a (base row, pre-normalization)",required (closed set),n/a,exactly 1 per RoomNode,commercial categories prohibited,C10,SceneNode.spaceTypeId,"n/a (base row, pre-normalization)",required (RoomNode kind only),conditional on node kind=Room,exactly 1,contained within SceneNode construct,runtime scene lifecycle,COMPATIBLE CONDITIONAL REPRESENTATION,Verified against live Contract 1 Sec 3.1: RoomNode-only restriction correctly enforced downstream
M02,C1,bedroom + 3 full-inheriting specializations,"n/a (base row, pre-normalization)",required,n/a,n/a,specializations must not collapse to bare bedroom,C3,matrix rows 17-19,"n/a (base row, pre-normalization)",required,n/a,102 cells total,matrix-row containment,architecture,COMPATIBLE SPECIALIZATION,Structurally identical applicability rows verified; c3.failure.008 guards collapse
M03,C1,kitchen_living_room composite (living_room+kitchen),"n/a (base row, pre-normalization)",required,n/a,n/a,n/a,C10,SceneNode.spaceTypeId (one of the 34 values),"n/a (base row, pre-normalization)",required,conditional on node kind=Room,exactly 1,same as M01,runtime,COMPATIBLE DOMAIN IMPORT,"Represented as one enum value among the 34, no special-casing needed or found"
M04,C2,Relation identity registry,"n/a (base row, pre-normalization)",required,n/a,n/a,n/a,C10,SceneRelation.relationTypeIdentity,"n/a (base row, pre-normalization)",required per relation instance,"conditional (0..N array, never required to exist)",0..N,contained within StructuredSceneV0,runtime,COMPATIBLE DOMAIN IMPORT,"Verified: relations[] cardinality corrected to 0..N unconditionally (Owner finding 8, closed) -- applicability is a permission bound, not an existence requirement"
M05,C3,102-cell Relation x Category Applicability Matrix,"n/a (base row, pre-normalization)",required (closed),n/a,102 cells,n/a,C10,relations[] applicability validation (c10.xref-equivalent rule),"n/a (base row, pre-normalization)",conditional,checked only when a relation instance is asserted,n/a,cross-field validation rule,runtime,COMPATIBLE CONDITIONAL REPRESENTATION,"Verified: Contract 10 correctly treats the matrix as a permission bound on asserted relations, not a mandate to populate every applicable cell"
M08,C4,evidenceKindIdentity (3-value closed enum),"n/a (base row, pre-normalization)",required,n/a,exactly 1,no undefined token,C10,evidenceKindIdentity field,"n/a (base row, pre-normalization)",required,n/a,exactly 1,contained within AEA,runtime,EXACT MATCH,"Verified exact 3-value set, non-conflated with provenance or producingStage (R18 non-conflation rule)"
M09,C4,provenanceIdentity (4-value closed enum),"n/a (base row, pre-normalization)",required,n/a,exactly 1,no undefined token,C10,provenanceIdentity field,"n/a (base row, pre-normalization)",required,n/a,exactly 1,contained within AEA,runtime,EXACT MATCH,Verified exact 4-value set
M10,C4,determinabilitybasis registry (16-value closed enum),"n/a (base row, pre-normalization)",conditional (no-value assessments only),required when field value indeterminate,exactly 1 per basis record,n/a,C10,DeterminabilityEvidenceBasisRecord basis reference,"n/a (base row, pre-normalization)",conditional,same,same,contained within evidence model,runtime,EXACT MATCH,All 16 values token-matched exactly
M11,C5,confidence state/source/transformation/signaltype registries,"n/a (base row, pre-normalization)",required per ConfidenceAssertionRecord,n/a,exactly 1 each,ordinal only -- no probability semantics,C10,ConfidenceAssertionRecord fields,"n/a (base row, pre-normalization)",required,n/a,exactly 1 each,contained within confidence records,runtime,EXACT MATCH,Verified ordinal-only semantics preserved (no probability/ECE/Brier substitution found)
M12,C5,"confidence recordtype registry (5 types; 2 fully expanded, 3 referenced by ID)","n/a (base row, pre-normalization)",required,n/a,n/a,n/a,C10,ConfidenceAssertionRecord + ConfidenceSourceSignalRecord (fully expanded); generationMethodId/normalizationProfileId/mappingRuleId (referenced by ID only),"n/a (base row, pre-normalization)",required/conditional,n/a,n/a,contained within confidence model,runtime,COMPATIBLE DOMAIN IMPORT,"CLOSED per binding Project Owner adjudication: Contract 5's c5.recordtype.* identifies semantic record classes and does not prescribe Contract-10 JSON field names or storage representation; the accepted Dependency Plan requires Contract 10 to import confidence fields/enums, not to fully duplicate every Contract-5-owned configuration record as an expanded construct. Consistent with the same representation-ownership boundary independently verified elsewhere in this review (Contract 9's internal apparatus, Contract 8's Sec 11.4 explicit permission)."
M13,C6,determinability outcome/pairingstate/multiviewstate registries,"n/a (base row, pre-normalization)",required/conditional,n/a,exactly 1 / conditional 0..1,non-conflation with C5 confidence states,C10,OutcomeDecisionRecord/PairingRecord/AnnotationUnitRecord fields,"n/a (base row, pre-normalization)",same,same,same,contained within Contract6DeterminabilityPackage,runtime,EXACT MATCH,Verified exact enum sets; non-conflation rule (R18) confirmed enforced
M14,C6,recordtype registry (6 record types),"n/a (base row, pre-normalization)",required,n/a,n/a,n/a,C10,Contract6DeterminabilityPackage (6 sub-records),"n/a (base row, pre-normalization)",required,n/a,n/a,each sub-record has own containment entry,runtime,EXACT MATCH,All 6 sub-records (AnnotationUnitRecord/PairingRecord/BasisLinkRecord/OutcomeDecisionRecord/Contract6SealingRecord/AdjudicationRecord) individually verified against live c6.recordtype.001-006
M15,C7,completenessassessmentstate (3-value: unresolved/resolved-full/resolved-partial),"n/a (base row, pre-normalization)",required (internal workflow),n/a,exactly 1 (internal),unresolved may never be sealed as full/partial,C10,SceneResult.completeness (2-value: full/partial),"n/a (base row, pre-normalization)",required,only for SceneResult; absent for other 3 variants,exactly 1,contained within SceneResult,runtime,COMPATIBLE CONDITIONAL REPRESENTATION,"Formally adjudicated (P-1, REJECTED as false positive): Contract 10 correctly represents only the two sealable final values, matching Contract 7's own explicit statement that unresolved may never cross into the runtime signal"
M16,C7,scenario-family / expected-family rules,"n/a (base row, pre-normalization)",required,n/a,n/a,n/a,C10,(no direct field-level mirror found beyond M15),"n/a (base row, pre-normalization)",n/a,n/a,n/a,n/a,architecture,NOT REPRESENTED BY DESIGN -- EXPLICITLY AUTHORIZED,CLOSED per binding Project Owner adjudication: the accepted Dependency Plan establishes a layered chain (Contract 7 -> Contract 8: scenario/completeness population; Contract 8 -> Contract 10: UnseenClaimRecord representation) with no direct Contract 7 -> Contract 10 mirroring requirement. Contract 7 owns corpus/evaluation semantics; Contract 10 owns conformance representation. Consistent with the independently-verified acyclic dependency graph (Contract 7 has no direct edge into Contract 10 except the single completeness-signal touchpoint already adjudicated as P-1).
M17,C8,claimcode/claimfamily/claimdisposition/assertionscope registries,"n/a (base row, pre-normalization)",required,n/a,exactly 1 each,n/a,C10,UnseenClaimRecord fields,"n/a (base row, pre-normalization)",required,n/a,same,contained within unseenClaimRecords[],runtime,EXACT MATCH,Verified against live Contract 8 text across multiple sessions
M19,C8,lifecycle state registry (c8.lifecycle.001-009),"n/a (base row, pre-normalization)",required/conditional,n/a,exactly 1,n/a,C10,C8LifecycleBundle/C8LifecycleTransitionEvent fields,"n/a (base row, pre-normalization)",conditional,n/a,n/a,contained within lifecycle wrapper constructs,evaluation,COMPATIBLE DOMAIN IMPORT,"Underlying stable IDs verified real; container names are Contract-10-owned wire representation of a cross-cutting attribute, not a separately-named upstream record -- adjudicated non-defect, consistent with the Contract-6 sub-record naming precedent (M14)"
