applicabilityUnitId,contract,semanticFamily,governingIdentifierOrSection,applicabilitySource,directInheritedCompositeOrAgnostic,authoritativeCategorySetOrRule,downstreamCategorySetOrRule,bedroomSpecializationTreatment,kitchenLivingCompositeTreatment,commercialExclusion,result,reason
D01,C1,Residential-34 category root registry,c1.space.001-034 / subtype.residential.*,root authority,direct,34 active categories incl. 3 bedroom specializations + kitchen_living_room composite,n/a (this IS the root),full inherited applicability stated explicitly in own registry,composite living_room+kitchen stated explicitly,commercial explicitly excluded,CONSISTENT,"Root registry itself; exhaustively re-verified fresh this review (34/34, 0 missing)"
D02,C2,Relation definitions and endpoints,relation identity registry,category-agnostic by design,AGNOSTIC,n/a - relations defined abstractly,n/a,not applicable at this layer,not applicable at this layer,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected: full relation-identity/endpoint-semantics registry (C2 entire document). Category cannot change validity: relation TYPE definitions contain zero category-conditional branching anywhere in the text. Category cannot change requiredness: endpoint semantics are stated generically per relation type, not per room category. Category cannot change outcome: relation applicability is entirely delegated to Contract 3's explicit matrix, confirmed as the sole bridge. Exact source section: C2 whole-document scan, 0 c1.space.* references (mechanical) plus full-text semantic read confirming no implicit category dependency."
D03,C3,Relation Type x Active Category Applicability Matrix,102-cell matrix (34 x 3),direct + inheritance,direct,all 34 categories x 3 relation types,same 102 cells,"rows 17-19 (specializations) carry identical applicability to bedroom's own row, verified equal across all 3 relation types; c3.failure.008 mechanically guards against divergence",kitchen_living_room row present with its own applicability,commercial not represented (out of scope),CONSISTENT BY INHERITANCE,"Verified in an earlier pass: specialization rows structurally identical to bedroom row, dedicated failure guard confirmed"
D04,C4,Evidence/provenance/determinability-basis registries,c4.evidencekind.*/c4.provenance.*/c4.determinabilitybasis.*,category-agnostic,AGNOSTIC,n/a,n/a,not applicable,not applicable,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected: c4.evidencekind.* (3), c4.provenance.* (4), c4.determinabilitybasis.* (16), AEA/AtomicEvidenceContribution full field models (Sec 8, 8.4). Category cannot change validity: evidence-kind/provenance/determinability concepts (image-region, pixel-cue, visually-observed, insufficient-resolution) describe HOW a claim was evidenced, not WHICH room. Category cannot change requiredness: field-level requiredness rules in Sec 8 reference claim state (best-effort vs required) not room category. Category cannot change outcome: no category-conditional branch found in any of the 26+8+16+3+4 inspected components. Exact source section: Contract 4 Sec 8, 8.4, and the determinability-basis registry, full text."
D05,C5,Confidence normalization registries,c5.state.*/c5.source.*/c5.transformation.*/c5.signaltype.*,category-agnostic,AGNOSTIC,n/a,n/a,not applicable,not applicable,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected: c5.state.* (3), c5.source.* (3), c5.transformation.*, c5.signaltype.*, c5.recordtype.* (5). Category cannot change validity: confidence-state ordinal values (known_with_confidence/known_with_uncertainty/unknown_not_inferable) describe epistemic status of a claim, orthogonal to room category. Category cannot change requiredness: confidence fields are required per-assertion regardless of subject. Category cannot change outcome: no category-conditional rule found anywhere in Contract 5. Exact source section: Contract 5 full document (confidence normalization registries)."
D06,C6,Determinability/pairing/adjudication registries,c6.outcome.*/c6.pairingstate.*/c6.recordtype.*,category-agnostic,AGNOSTIC,n/a,n/a,not applicable,not applicable,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected: c6.outcome.* (3), c6.pairingstate.* (5), c6.multiviewstate.* (5), c6.recordtype.* (6). Category cannot change validity: determinability/pairing concepts describe cross-view resolution mechanics (duplicate/conflict/complete pairing states) independent of which room is depicted. Category cannot change requiredness: pairing rules apply uniformly to any cross-view claim pair. Category cannot change outcome: no category-conditional branch found in any of the 6 record types' full definitions. Exact source section: Contract 6 full document (recordtype/outcome/pairingstate/multiviewstate registries)."
D07,C7,Scenario/sufficiency/completeness family,scenario-family + completeness-assessment-state registries,direct,direct,all 34 categories,all 34 categories referenced (244 occurrences),"full inheritance confirmed (43 specialization references found, consistent usage pattern)",kitchen_living_room referenced consistently with other composite-aware families,commercial not represented,CONSISTENT,"Exhaustively re-verified: 34/34 present, 0 missing, this and prior passes"
D08,C8,UnseenClaimRecord claim-scope family,c8.claimcode.*/claim-scope registries,direct,direct,all 34 categories,all 34 categories referenced (68 occurrences),full inheritance confirmed (9 specialization references),consistent treatment,commercial not represented,CONSISTENT,"Exhaustively re-verified: 34/34 present, 0 missing"
D09,C9,Fixture subtype / reason / violation registries,c9.entry.*/c9.failure.*/c9.escalation.*,category-agnostic,AGNOSTIC,n/a,n/a,not applicable,not applicable,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected directly: full 18-entry fixture registry (Sec 7) and full 52-entry failure registry (Sec 37), read in their entirety. Category cannot change validity: every entry concerns structural/technical conformance (schema-version mismatch, node duplicate ID, geometry invalid, provider timeout, registry-drift violations) -- zero category-conditional entries found among all 70 inspected rows. Category cannot change requiredness: fixture/failure applicability is fixed by result family/stage/reason, never by room category. Category cannot change outcome: the four-part exact-match comparison rule (result+stage+reason+retryability) contains no category term. Exact source section: Contract 9 Sec 7 (18 entries) and Sec 37 (52 entries), full text."
D10,C10,SceneNode category representation,nodes[].spaceTypeId,direct,direct,all 34 categories represented via enum,same 34,RoomNode.spaceTypeId correctly restricted to Room kind only; StructuralElement/Object/FreeSpaceRegion correctly prohibited from carrying a category value,kitchen_living_room representable as one of the 34,commercial excluded from the enum,CONSISTENT,Verified in an earlier pass against live Contract 1 node-model text (Sec 3.1)
D11,C10,ComparisonOutcome / fixture-evaluation representation,ComparisonOutcome.entryIdentity etc.,category-agnostic (consistent with C9),AGNOSTIC,n/a,n/a,not applicable,not applicable,not applicable,CATEGORY-AGNOSTIC BY COMPLETE SEMANTIC INSPECTION,"Governed registries inspected: Contract 10's ComparisonOutcome/fixture-evaluation field representation, which is a direct wire mirror of Contract 9's registries. Category cannot change validity/requiredness/outcome: this classification is inherited directly from D09's inspection of the underlying Contract 9 registries being mirrored -- Contract 10 does not add any category-conditional logic of its own to this representation layer. Exact source section: Contract 10 ComparisonOutcome field rows, cross-checked against D09's finding."
